x-axis,NO_LBL,2
second,Volt,Volt
-5.000000E-06,+1.477823493602E+00,+224.661420267E-03
-4.995000E-06,+1.467734492535E+00,+223.601436610E-03
-4.990000E-06,+1.475031162437E+00,+223.921975330E-03
-4.985000E-06,+1.474102672180E+00,+237.084055997E-03
-4.980000E-06,+1.473909299534E+00,+213.842352648E-03
-4.975000E-06,+1.480866116067E+00,+226.461105182E-03
-4.970000E-06,+1.474381686668E+00,+201.214086030E-03
-4.965000E-06,+1.478554163265E+00,+222.870465391E-03
-4.960000E-06,+1.475436453410E+00,+208.631860734E-03
-4.955000E-06,+1.477632910347E+00,+217.410179744E-03
-4.950000E-06,+1.472651510361E+00,+211.511929554E-03
-4.945000E-06,+1.466482282145E+00,+198.859975729E-03
-4.940000E-06,+1.462010209877E+00,+211.220460812E-03
-4.935000E-06,+1.464137535151E+00,+187.676477946E-03
-4.930000E-06,+1.473497902056E+00,+208.799812228E-03
-4.925000E-06,+1.472005954818E+00,+179.488665472E-03
-4.920000E-06,+1.477768082727E+00,+197.534773761E-03
-4.915000E-06,+1.474134863260E+00,+177.963637564E-03
-4.910000E-06,+1.477761750055E+00,+190.463682663E-03
-4.905000E-06,+1.472799725029E+00,+188.582894320E-03
-4.900000E-06,+1.486224083838E+00,+180.515583536E-03
-4.895000E-06,+1.481724645383E+00,+189.211623051E-03
-4.890000E-06,+1.481104948248E+00,+165.598282355E-03
-4.885000E-06,+1.480125796619E+00,+186.487006237E-03
-4.880000E-06,+1.482003961427E+00,+156.735301559E-03
-4.875000E-06,+1.480597052920E+00,+181.349189266E-03
-4.870000E-06,+1.475047220282E+00,+155.045352793E-03
-4.865000E-06,+1.469881795880E+00,+165.029065658E-03
-4.860000E-06,+1.476377684399E+00,+157.180804995E-03
-4.855000E-06,+1.473471968259E+00,+152.805969390E-03
-4.850000E-06,+1.476377458232E+00,+160.199031598E-03
-4.845000E-06,+1.475172441321E+00,+140.813623608E-03
-4.840000E-06,+1.474102446013E+00,+161.699980276E-03
-4.835000E-06,+1.472922910566E+00,+132.507028310E-03
-4.830000E-06,+1.475625001163E+00,+156.591097583E-03
-4.825000E-06,+1.464407955300E+00,+133.459160540E-03
-4.820000E-06,+1.476204365212E+00,+150.466967034E-03
-4.815000E-06,+1.476530648570E+00,+135.266052639E-03
-4.810000E-06,+1.463785468774E+00,+137.471631638E-03
-4.805000E-06,+1.478027043756E+00,+137.626224211E-03
-4.800000E-06,+1.472739413872E+00,+129.225332419E-03
-4.795000E-06,+1.485109232107E+00,+139.890636744E-03
-4.790000E-06,+1.476668534952E+00,+121.756127376E-03
-4.785000E-06,+1.475705215002E+00,+138.748810848E-03
-4.780000E-06,+1.466392493910E+00,+122.394234492E-03
-4.775000E-06,+1.469749865225E+00,+133.299908931E-03
-4.770000E-06,+1.475254313717E+00,+124.304032501E-03
-4.765000E-06,+1.474340825860E+00,+126.717413591E-03
-4.760000E-06,+1.476487903037E+00,+123.504683508E-03
-4.755000E-06,+1.468231230299E+00,+115.858239054E-03
-4.750000E-06,+1.475211794351E+00,+122.148164972E-03
-4.745000E-06,+1.469500629370E+00,+111.523359590E-03
-4.740000E-06,+1.475537097652E+00,+118.196864465E-03
-4.735000E-06,+1.464260871466E+00,+109.440679649E-03
-4.730000E-06,+1.467314274551E+00,+112.957664440E-03
-4.725000E-06,+1.471350146378E+00,+106.282485930E-03
-4.720000E-06,+1.469047767972E+00,+104.994013457E-03
-4.715000E-06,+1.474244554176E+00,+108.562760297E-03
-4.710000E-06,+1.479439304878E+00,+100.027917427E-03
-4.705000E-06,+1.471327529694E+00,+104.515911840E-03
-4.700000E-06,+1.470892535477E+00,+96.912197840E-03
-4.695000E-06,+1.471899731793E+00,+102.214603957E-03
-4.690000E-06,+1.472264161957E+00,+94.946415999E-03
-4.685000E-06,+1.465646067957E+00,+100.226310977E-03
-4.680000E-06,+1.466701814755E+00,+94.148077218E-03
-4.675000E-06,+1.472653922807E+00,+93.464028079E-03
-4.670000E-06,+1.471843943973E+00,+94.339927007E-03
-4.665000E-06,+1.471458404904E+00,+87.626119202E-03
-4.660000E-06,+1.466891041009E+00,+94.746590059E-03
-4.655000E-06,+1.474057288034E+00,+84.688257215E-03
-4.650000E-06,+1.474393371955E+00,+92.734172616E-03
-4.645000E-06,+1.475601027479E+00,+80.651133932E-03
-4.640000E-06,+1.469581521708E+00,+90.961099999E-03
-4.635000E-06,+1.468454381579E+00,+76.727923346E-03
-4.630000E-06,+1.478660310901E+00,+86.091863687E-03
-4.625000E-06,+1.465707208392E+00,+76.265638330E-03
-4.620000E-06,+1.468676778969E+00,+80.448986013E-03
-4.615000E-06,+1.463319188144E+00,+75.823316307E-03
-4.610000E-06,+1.470935281009E+00,+75.593636344E-03
-4.605000E-06,+1.477810074370E+00,+75.438712061E-03
-4.600000E-06,+1.468750886303E+00,+69.642327415E-03
-4.595000E-06,+1.474028414068E+00,+74.474864388E-03
-4.590000E-06,+1.475446103195E+00,+62.642659804E-03
-4.585000E-06,+1.471443779449E+00,+72.695715422E-03
-4.580000E-06,+1.471293830836E+00,+57.773272714E-03
-4.575000E-06,+1.471085003455E+00,+68.851723540E-03
-4.570000E-06,+1.464705440080E+00,+56.256688368E-03
-4.565000E-06,+1.472264991236E+00,+65.861436080E-03
-4.560000E-06,+1.477223849927E+00,+56.424277995E-03
-4.555000E-06,+1.469151955495E+00,+59.505348823E-03
-4.550000E-06,+1.479096435953E+00,+60.851599384E-03
-4.545000E-06,+1.462985592059E+00,+53.397773686E-03
-4.540000E-06,+1.471193261982E+00,+63.596194269E-03
-4.535000E-06,+1.465258870332E+00,+48.222458254E-03
