Motion Sensor Data File Sep 15, 2020 3:20 PM
Time (s)	Distance (cm)	Dist Error (cm)
0.000	32.480	0.239
0.017	32.672	0.239
0.033	32.602	0.239
0.050	32.349	0.239
0.067	31.961	0.239
0.083	31.442	0.239
0.100	30.776	0.239
0.117	29.996	0.239
0.133	29.094	0.239
0.150	28.060	0.239
0.167	26.900	0.239
0.183	25.781	0.239
0.200	24.650	0.239
0.217	23.502	0.239
0.233	22.338	0.239
0.250	21.162	0.239
0.267	20.141	0.239
0.283	19.197	0.239
0.300	18.368	0.239
0.317	17.645	0.239
0.333	17.065	0.239
0.350	16.628	0.239
0.367	16.350	0.239
0.383	16.170	0.239
0.400	16.186	0.239
0.417	16.489	0.239
0.433	16.860	0.239
0.450	17.346	0.239
0.467	18.020	0.239
0.483	18.914	0.239
0.500	19.910	0.239
0.517	20.927	0.239
0.533	21.976	0.239
0.550	23.079	0.239
0.567	24.344	0.239
0.583	25.480	0.239
0.600	26.688	0.239
0.617	27.754	0.239
0.633	28.767	0.239
0.650	29.702	0.239
0.667	30.522	0.239
0.683	31.306	0.239
0.700	31.833	0.239
0.717	32.323	0.239
0.733	32.559	0.239
0.750	32.674	0.239
0.767	32.645	0.239
0.783	32.404	0.239
0.800	32.048	0.239
0.817	31.542	0.239
0.833	30.889	0.239
0.850	30.092	0.239
0.867	29.181	0.239
0.883	28.054	0.239
0.900	26.980	0.239
0.917	25.877	0.239
0.933	24.738	0.239
0.950	23.581	0.239
0.967	22.434	0.239
0.983	21.249	0.239
1.000	20.179	0.239
1.017	19.220	0.239
1.033	18.382	0.239
1.050	17.647	0.239
1.067	17.055	0.239
1.083	16.589	0.239
1.100	16.291	0.239
1.117	16.160	0.239
1.133	16.119	0.239
1.150	16.356	0.239
1.167	16.686	0.239
1.183	17.180	0.239
1.200	17.829	0.239
1.217	18.630	0.239
1.233	19.569	0.239
1.250	20.578	0.239
1.267	21.708	0.239
1.283	22.827	0.239
1.300	23.987	0.239
1.317	25.134	0.239
1.333	26.286	0.239
1.350	27.417	0.239
1.367	28.564	0.239
1.383	29.544	0.239
1.400	30.385	0.239
1.417	31.120	0.239
1.433	31.721	0.239
1.450	32.161	0.239
1.467	32.468	0.239
1.483	32.610	0.239
1.500	32.586	0.239
1.517	32.373	0.239
1.533	32.026	0.239
1.550	31.507	0.239
1.567	30.845	0.239
1.583	30.065	0.239
1.600	29.159	0.239
1.617	28.064	0.239
1.633	26.961	0.239
1.650	25.842	0.239
1.667	24.698	0.239
1.683	23.551	0.239
1.700	22.391	0.239
1.717	21.190	0.239
1.733	20.148	0.239
1.750	19.205	0.239
1.767	18.368	0.239
1.783	17.641	0.239
1.800	17.069	0.239
1.817	16.627	0.239
1.833	16.337	0.239
1.850	16.178	0.239
1.867	16.178	0.239
1.883	16.468	0.239
1.900	16.827	0.239
1.917	17.296	0.239
1.933	17.946	0.239
1.950	18.730	0.239
1.967	19.612	0.239
1.983	20.632	0.239
2.000	21.825	0.239
2.017	22.960	0.239
2.033	24.091	0.239
2.050	25.246	0.239
2.067	26.365	0.239
2.083	27.488	0.239
2.100	28.521	0.239
2.117	29.571	0.239
2.133	30.408	0.239
2.150	31.155	0.239
2.167	31.734	0.239
2.183	32.171	0.239
2.200	32.453	0.239
2.217	32.588	0.239
2.233	32.539	0.239
2.250	32.322	0.239
2.267	31.954	0.239
2.283	31.444	0.239
2.300	30.786	0.239
2.317	30.002	0.239
2.333	29.062	0.239
2.350	28.013	0.239
2.367	26.902	0.239
2.383	25.783	0.239
2.400	24.643	0.239
2.417	23.503	0.239
2.433	22.372	0.239
2.450	21.261	0.239
2.467	20.232	0.239
2.483	19.219	0.239
2.500	18.341	0.239
2.517	17.634	0.239
2.533	17.050	0.239
2.550	16.601	0.239
2.567	16.323	0.239
2.583	16.164	0.239
2.600	16.180	0.239
2.617	16.441	0.239
2.633	16.796	0.239
2.650	17.307	0.239
2.667	17.972	0.239
2.683	18.768	0.239
2.700	19.642	0.239
2.717	20.745	0.239
2.733	21.839	0.239
2.750	22.961	0.239
2.767	24.089	0.239
2.783	25.256	0.239
2.800	26.392	0.239
2.817	27.490	0.239
2.833	28.593	0.239
2.850	29.601	0.239
2.867	30.450	0.239
2.883	31.165	0.239
2.900	31.753	0.239
2.917	32.181	0.239
2.933	32.443	0.239
2.950	32.557	0.239
2.967	32.499	0.239
2.983	32.291	0.239
3.000	31.924	0.239
3.017	31.404	0.239
3.033	30.739	0.239
3.050	29.959	0.239
3.067	29.040	0.239
3.083	28.011	0.239
3.100	26.879	0.239
3.117	25.797	0.239
3.133	24.669	0.239
3.150	23.550	0.239
3.167	22.419	0.239
3.183	21.202	0.239
3.200	20.156	0.239
3.217	19.221	0.239
