Motion Sensor Data File Sep 17, 2020 3:37 PM
Time (s)	Distance (cm)	Dist Error (cm)
0.000	30.868	0.239
0.017	31.796	0.239
0.033	32.715	0.239
0.050	33.362	0.239
0.067	34.026	0.239
0.083	34.442	0.239
0.100	34.779	0.239
0.117	34.889	0.239
0.133	34.702	0.239
0.150	34.306	0.239
0.167	33.859	0.239
0.183	33.276	0.239
0.200	32.412	0.239
0.217	31.560	0.239
0.233	30.649	0.239
0.250	29.649	0.239
0.267	28.530	0.239
0.283	27.287	0.239
0.300	26.142	0.239
0.317	24.924	0.239
0.333	23.716	0.239
0.350	22.660	0.239
0.367	21.660	0.239
0.383	20.731	0.239
0.400	19.893	0.239
0.417	19.161	0.239
0.433	18.505	0.239
0.450	17.939	0.239
0.467	18.084	0.239
0.483	18.279	0.239
0.500	18.003	0.239
0.517	17.841	0.239
0.533	18.109	0.239
0.550	18.530	0.239
0.567	19.113	0.239
0.583	20.028	0.239
0.600	21.138	0.239
0.617	22.083	0.239
0.633	23.075	0.239
0.650	24.109	0.239
0.667	25.164	0.239
0.683	26.177	0.239
0.700	27.007	0.239
0.717	28.113	0.239
0.733	29.131	0.239
0.750	29.845	0.239
0.767	30.569	0.239
0.783	31.394	0.239
0.800	32.130	0.239
0.817	32.751	0.239
0.833	33.245	0.239
0.850	33.581	0.239
0.867	33.756	0.239
0.883	33.790	0.239
0.900	33.675	0.239
0.917	33.406	0.239
0.933	32.997	0.239
0.950	32.444	0.239
0.967	31.767	0.239
0.983	30.984	0.239
1.000	30.107	0.239
1.017	29.341	0.239
1.033	28.626	0.239
1.050	27.574	0.239
1.067	26.493	0.239
1.083	25.680	0.239
1.100	24.655	0.239
1.117	23.633	0.239
1.133	22.641	0.239
1.150	21.496	0.239
1.167	20.296	0.239
1.183	19.534	0.239
1.200	18.904	0.239
1.217	18.419	0.239
1.233	18.082	0.239
1.250	18.210	0.239
1.267	18.405	0.239
1.283	18.490	0.239
1.300	18.341	0.239
1.317	18.477	0.239
1.333	18.885	0.239
1.350	19.613	0.239
1.367	20.379	0.239
1.383	21.247	0.239
1.400	22.205	0.239
1.417	23.222	0.239
1.433	24.294	0.239
1.450	25.405	0.239
1.467	26.673	0.239
1.483	27.797	0.239
1.500	29.044	0.239
1.517	30.078	0.239
1.533	30.993	0.239
1.550	31.856	0.239
1.567	32.652	0.239
1.583	33.371	0.239
1.600	33.856	0.239
1.617	34.188	0.239
1.633	34.371	0.239
1.650	34.380	0.239
1.667	34.231	0.239
1.683	33.826	0.239
1.700	33.375	0.239
1.717	32.817	0.239
1.733	32.076	0.239
1.750	31.170	0.239
1.767	30.233	0.239
1.783	29.148	0.239
1.800	28.105	0.239
1.817	27.053	0.239
1.833	25.977	0.239
1.850	24.904	0.239
1.867	23.844	0.239
1.883	22.797	0.239
1.900	21.716	0.239
1.917	21.273	0.239
1.933	20.826	0.239
1.950	19.766	0.239
1.967	18.953	0.239
1.983	18.255	0.239
2.000	17.987	0.239
2.017	17.804	0.239
2.033	17.769	0.239
2.050	17.889	0.239
2.067	18.156	0.239
2.083	18.565	0.239
2.100	19.050	0.239
2.117	19.935	0.239
2.133	20.718	0.239
2.150	21.616	0.239
2.167	23.007	0.239
2.183	24.148	0.239
2.200	25.178	0.239
2.217	26.178	0.239
2.233	26.965	0.239
2.250	28.046	0.239
2.267	29.055	0.239
2.283	29.744	0.239
2.300	30.638	0.239
2.317	31.276	0.239
2.333	31.991	0.239
2.350	32.586	0.239
2.367	33.059	0.239
2.383	33.391	0.239
2.400	33.578	0.239
2.417	33.612	0.239
2.433	33.510	0.239
2.450	33.250	0.239
2.467	32.845	0.239
2.483	32.466	0.239
2.500	31.815	0.239
2.517	31.330	0.239
2.533	30.479	0.239
2.550	29.529	0.239
2.567	28.516	0.239
2.583	27.460	0.239
2.600	26.401	0.239
2.617	25.617	0.239
2.633	24.579	0.239
2.650	23.540	0.239
2.667	22.497	0.239
2.683	21.301	0.239
2.700	20.471	0.239
2.717	19.773	0.239
2.733	19.186	0.239
2.750	18.734	0.239
2.767	18.406	0.239
2.783	17.938	0.239
2.800	17.712	0.239
2.817	17.849	0.239
2.833	18.167	0.239
2.850	18.602	0.239
2.867	19.146	0.239
2.883	19.801	0.239
2.900	20.568	0.239
2.917	21.423	0.239
2.933	22.351	0.239
2.950	23.346	0.239
2.967	24.389	0.239
2.983	25.457	0.239
3.000	26.529	0.239
3.017	27.589	0.239
3.033	28.606	0.239
3.050	29.568	0.239
3.067	30.462	0.239
3.083	31.257	0.239
3.100	31.947	0.239
3.117	32.521	0.239
3.133	32.968	0.239
3.150	33.278	0.239
3.167	33.452	0.239
3.183	33.482	0.239
3.200	33.363	0.239
3.217	33.108	0.239
3.233	32.711	0.239
3.250	32.179	0.239
3.267	31.498	0.239
3.283	30.681	0.239
3.300	29.953	0.239
3.317	29.280	0.239
3.333	28.348	0.239
3.350	27.297	0.239
3.367	26.552	0.239
3.383	25.569	0.239
3.400	24.547	0.239
3.417	23.534	0.239
3.433	22.419	0.239
3.450	21.159	0.239
3.467	20.329	0.239
3.483	19.627	0.239
3.500	18.856	0.239
3.517	18.571	0.239
3.533	18.137	0.239
3.550	17.966	0.239
3.567	17.949	0.239
3.583	18.081	0.239
3.600	18.468	0.239
3.617	18.821	0.239
3.633	19.485	0.239
3.650	20.157	0.239
3.667	21.060	0.239
3.683	22.332	0.239
3.700	23.307	0.239
3.717	24.294	0.239
3.733	25.277	0.239
3.750	25.966	0.239
3.767	27.030	0.239
3.783	27.770	0.239
3.800	28.583	0.239
3.817	29.549	0.239
3.833	30.456	0.239
3.850	31.281	0.239
3.867	31.975	0.239
3.883	32.528	0.239
3.900	32.945	0.239
3.917	33.226	0.239
3.933	33.362	0.239
3.950	33.353	0.239
3.967	33.204	0.239
3.983	32.919	0.239
4.000	32.502	0.239
4.017	31.961	0.239
4.033	31.301	0.239
4.050	30.539	0.239
4.067	29.683	0.239
4.083	28.756	0.239
4.100	27.768	0.239
4.117	26.738	0.239
4.133	25.691	0.239
4.150	24.639	0.239
4.167	23.605	0.239
4.183	22.617	0.239
4.200	21.694	0.239
4.217	20.838	0.239
4.233	20.076	0.239
4.250	19.416	0.239
4.267	18.863	0.239
4.283	18.420	0.239
4.300	18.084	0.239
4.317	17.896	0.239
4.333	17.871	0.239
4.350	18.007	0.239
4.367	18.500	0.239
4.383	19.117	0.239
4.400	19.705	0.239
4.417	20.368	0.239
4.433	21.160	0.239
4.450	22.032	0.239
4.467	22.977	0.239
4.483	23.973	0.239
4.500	24.998	0.239
4.517	26.049	0.239
4.533	27.105	0.239
4.550	28.143	0.239
4.567	29.126	0.239
4.583	30.041	0.239
4.600	30.858	0.239
4.617	31.390	0.239
4.633	32.045	0.239
4.650	32.420	0.239
4.667	32.849	0.239
4.683	33.164	0.239
4.700	33.330	0.239
4.717	33.334	0.239
4.733	33.185	0.239
4.750	32.883	0.239
4.767	32.445	0.239
4.783	31.887	0.239
4.800	31.376	0.239
4.817	30.627	0.239
4.833	30.069	0.239
4.850	29.175	0.239
4.867	28.209	0.239
4.883	27.191	0.239
4.900	26.332	0.239
4.917	25.455	0.239
4.933	24.480	0.239
4.950	23.522	0.239
4.967	22.616	0.239
4.983	21.747	0.239
5.000	20.679	0.239
5.017	19.798	0.239
5.033	19.240	0.239
5.050	18.819	0.239
5.067	18.529	0.239
5.083	18.388	0.239
5.100	18.388	0.239
5.117	18.584	0.239
5.133	19.252	0.239
5.150	19.775	0.239
5.167	20.269	0.239
5.183	20.545	0.239
5.200	21.026	0.239
5.217	21.690	0.239
5.233	22.707	0.239
5.250	23.673	0.239
5.267	24.669	0.239
5.283	25.686	0.239
5.300	26.703	0.239
5.317	27.703	0.239
5.333	28.665	0.239
5.350	29.606	0.239
5.367	30.559	0.239
5.383	31.359	0.239
5.400	32.027	0.239
5.417	32.737	0.239
5.433	33.154	0.239
5.450	33.435	0.239
5.467	33.567	0.239
5.483	33.562	0.239
5.500	33.418	0.239
5.517	33.128	0.239
5.533	32.715	0.239
5.550	32.170	0.239
5.567	31.502	0.239
5.583	30.740	0.239
5.600	29.697	0.239
5.617	28.786	0.239
5.633	27.803	0.239
5.650	26.684	0.239
5.667	25.598	0.239
5.683	24.585	0.239
5.700	23.602	0.239
5.717	22.661	0.239
5.733	21.771	0.239
5.750	20.958	0.239
5.767	20.226	0.239
5.783	19.524	0.239
5.800	18.949	0.239
5.817	19.030	0.239
5.833	19.068	0.239
5.850	19.046	0.239
5.867	18.800	0.239
5.883	18.663	0.239
5.900	18.931	0.239
5.917	19.348	0.239
5.933	19.906	0.239
5.950	20.667	0.239
5.967	21.842	0.239
5.983	22.735	0.239
6.000	23.638	0.239
6.017	24.565	0.239
6.033	25.493	0.239
6.050	26.221	0.239
6.067	27.225	0.239
6.083	28.217	0.239
6.100	29.148	0.239
6.117	29.910	0.239
6.133	30.544	0.239
6.150	31.076	0.239
6.167	31.706	0.239
6.183	32.216	0.239
6.200	32.608	0.239
6.217	32.871	0.239
6.233	32.999	0.239
6.250	32.991	0.239
6.267	32.846	0.239
6.283	32.560	0.239
6.300	32.147	0.239
6.317	31.620	0.239
