Motion Sensor Data File Sep 15, 2020 3:21 PM
Time (s)	Velocity (cm/s)
0.000	NaN
0.017	11.517
0.033	-4.190
0.050	-15.193
0.067	-23.279
0.083	-31.145
0.100	-39.942
0.117	-46.803
0.133	-54.155
0.150	-61.996
0.167	-69.617
0.183	-67.142
0.200	-67.877
0.217	-68.857
0.233	-69.838
0.250	-70.573
0.267	-61.261
0.283	-56.630
0.300	-49.744
0.317	-43.373
0.333	-34.796
0.350	-26.244
0.367	-16.663
0.383	-10.782
0.400	0.956
0.417	18.133
0.433	22.299
0.450	29.136
0.467	40.432
0.483	53.640
0.500	59.791
0.517	60.991
0.533	62.976
0.550	66.137
0.567	75.939
0.583	68.122
0.600	72.509
0.617	63.956
0.633	60.746
0.650	56.115
0.667	49.229
0.683	47.048
0.700	31.586
0.717	29.405
0.733	14.188
0.750	6.861
0.767	-1.715
0.783	-14.482
0.800	-21.319
0.817	-30.385
0.833	-39.207
0.850	-47.808
0.867	-54.645
0.883	-67.632
0.900	-64.447
0.917	-66.162
0.933	-68.367
0.950	-69.372
0.967	-68.857
0.983	-71.063
1.000	-64.202
1.017	-57.585
1.033	-50.234
1.050	-44.132
1.067	-35.531
1.083	-27.935
1.100	-17.888
1.117	-7.866
1.133	-2.450
1.150	14.213
1.167	19.824
1.183	29.650
1.200	38.937
1.217	48.029
1.233	56.336
1.250	60.526
1.267	67.853
1.283	67.142
1.300	69.568
1.317	68.833
1.333	69.102
1.350	67.853
1.367	68.857
1.383	58.786
1.400	50.479
1.417	44.083
1.433	36.021
1.450	26.440
1.467	18.378
1.483	8.552
1.500	-1.470
1.517	-12.742
1.533	-20.829
1.550	-31.145
1.567	-39.697
1.583	-46.803
1.600	-54.400
1.617	-65.696
1.633	-66.162
1.650	-67.142
1.667	-68.612
1.683	-68.857
1.700	-69.593
1.717	-72.043
1.733	-62.511
1.750	-56.605
1.767	-50.234
1.783	-43.618
1.800	-34.306
1.817	-26.489
1.833	-17.398
1.850	-9.557
1.867	-0.025
1.883	17.398
1.900	21.564
1.917	28.156
1.933	38.962
1.950	47.024
1.967	52.930
1.983	61.237
2.000	71.553
2.017	68.098
2.033	67.853
2.050	69.347
2.067	67.118
2.083	67.387
2.100	61.972
2.117	62.976
2.133	50.210
2.150	44.843
2.167	34.772
2.183	26.220
2.200	16.884
2.217	8.086
2.233	-2.941
2.250	-13.012
2.267	-22.054
2.283	-30.631
2.300	-39.452
2.317	-47.073
2.333	-56.360
2.350	-62.976
2.367	-66.652
2.383	-67.142
2.400	-68.367
2.417	-68.392
2.433	-67.877
2.450	-66.652
2.467	-61.751
2.483	-60.771
2.500	-52.684
2.517	-42.417
2.533	-35.041
2.550	-26.955
2.567	-16.663
2.583	-9.581
2.600	0.980
2.617	15.683
2.633	21.294
2.650	30.631
2.667	39.918
2.683	47.784
2.700	52.415
2.717	66.162
2.733	65.647
2.750	67.363
2.767	67.632
2.783	70.058
2.800	68.122
2.817	65.892
2.833	66.162
2.850	60.501
2.867	50.969
2.883	42.858
2.900	35.286
2.917	25.705
2.933	15.683
2.950	6.837
2.967	-3.431
2.983	-12.497
3.000	-22.054
3.017	-31.145
3.033	-39.942
3.050	-46.803
3.067	-55.135
3.083	-61.751
3.100	-67.902
3.117	-64.937
3.133	-67.632
3.150	-67.142
3.167	-67.877
3.183	-73.023
3.200	-62.756
3.217	-56.115
3.233	-48.274
3.250	-43.863
3.267	-33.081
3.283	-28.205
3.300	-14.703
3.317	-11.272
3.333	3.896
3.350	13.232
3.367	21.319
3.383	30.851
3.400	38.227
3.417	46.534
3.433	53.420
3.450	59.276
3.467	63.466
3.483	66.873
3.500	73.244
3.517	70.818
3.533	66.627
3.550	64.937
3.567	59.766
3.583	56.605
3.600	54.375
3.617	46.313
3.633	34.772
3.650	25.730
3.667	16.393
3.683	7.351
3.700	-3.921
3.717	-13.257
3.733	-22.299
3.750	-30.385
3.767	-39.942
3.783	-47.073
3.800	-54.645
3.817	-57.095
3.833	-68.857
3.850	-67.142
3.867	-67.877
3.883	-67.657
3.900	-66.652
3.917	-64.937
3.933	-63.711
3.950	-58.566
3.967	-49.989
3.983	-42.172
4.000	-34.306
4.017	-25.975
4.033	-15.928
4.050	-8.111
4.067	3.676
4.083	9.067
4.100	25.460
4.117	30.631
4.133	37.957
4.150	46.068
4.167	53.885
4.183	60.771
4.200	67.608
4.217	67.632
4.233	67.853
4.250	67.853
4.267	66.897
4.283	65.402
4.300	67.142
4.317	58.296
4.333	50.724
4.350	42.858
4.367	37.737
4.383	25.705
4.400	22.299
4.417	10.537
4.433	-1.495
4.450	-10.537
4.467	-21.319
4.483	-30.900
4.500	-41.657
4.517	-49.009
4.533	-52.684
4.550	-57.340
4.567	-61.040
4.583	-63.956
4.600	-67.142
4.617	-78.659
4.633	-65.182
4.650	-59.791
4.667	-65.941
4.683	-61.261
4.700	-55.380
4.717	-44.108
4.733	-35.776
4.750	-25.999
4.767	-18.623
4.783	-6.861
4.800	0.956
4.817	10.782
4.833	19.358
4.850	31.096
4.867	35.531
4.883	44.819
4.900	51.949
4.917	57.806
4.933	66.407
4.950	67.853
4.967	64.937
4.983	65.892
5.000	66.137
5.017	68.612
5.033	62.952
5.050	55.625
5.067	50.210
5.083	41.657
5.100	35.507
5.117	26.955
5.133	18.109
5.150	12.252
5.167	-2.205
5.183	-12.767
5.200	-19.113
5.217	-29.405
5.233	-37.737
5.250	-44.868
5.267	-49.989
5.283	-57.585
5.300	-63.466
5.317	-68.367
5.333	-67.142
5.350	-66.431
5.367	-64.692
5.383	-62.976
5.400	-62.976
5.417	-61.016
5.433	-50.724
5.450	-42.907
5.467	-34.551
5.483	-27.200
5.500	-17.643
5.517	-8.846
5.533	2.205
5.550	10.292
5.567	17.619
5.583	29.650
5.600	36.242
5.617	44.598
5.633	53.640
5.650	62.241
5.667	60.991
5.683	65.182
5.700	75.204
5.717	70.793
5.733	67.632
5.750	62.952
5.767	65.427
5.783	63.197
5.800	50.479
5.817	44.574
5.833	36.757
5.850	39.183
5.867	21.319
5.883	10.537
5.900	1.691
5.917	-7.596
5.933	-16.663
5.950	-26.734
5.967	-35.041
5.983	-47.294
6.000	-53.175
6.017	-55.895
6.033	-59.301
6.050	-63.221
6.067	-71.553
6.083	-67.877
6.100	-67.877
6.117	-64.202
6.133	-63.491
6.150	-63.466
6.167	-56.115
6.183	-47.539
6.200	-42.148
6.217	-38.741
6.233	-21.564
6.250	-12.497
6.267	-3.431
6.283	7.572
6.300	15.683
6.317	25.705
6.333	33.816
6.350	42.123
6.367	53.420
6.383	54.130
6.400	58.075
6.417	61.237
6.433	63.956
6.450	65.157
6.467	66.162
6.483	72.754
6.500	61.727
6.517	58.075
6.533	54.865
6.550	52.684
6.567	38.447
6.583	30.631
6.600	21.809
6.617	12.963
6.633	3.676
6.650	-6.861
6.667	-15.462
6.683	-24.014
6.700	-32.836
6.717	-40.457
6.733	-49.499
6.750	-59.056
6.767	-61.261
6.783	-60.526
6.800	-73.758
6.817	-67.877
6.833	-63.736
6.850	-62.976
6.867	-61.016
6.883	-57.585
6.900	-56.605
6.917	-48.298
6.933	-38.227
6.950	-30.631
6.967	-22.789
6.983	-12.277
7.000	-5.636
7.017	5.146
7.033	13.453
7.050	24.749
7.067	30.606
7.083	41.412
7.100	58.296
7.117	54.645
7.133	67.608
7.150	65.917
7.167	64.912
7.183	67.877
7.200	74.224
7.217	66.652
7.233	61.727
7.250	71.773
7.267	53.175
7.283	45.799
7.300	42.148
7.317	44.819
7.333	22.299
7.350	16.663
7.367	4.386
7.383	-2.695
7.400	-16.418
7.417	-30.410
7.433	-25.485
7.450	-42.638
7.467	-47.294
7.483	-59.301
7.500	-61.286
7.517	-61.261
7.533	-72.533
7.550	-66.162
7.567	-66.897
7.583	-66.407
7.600	-74.003
7.617	-62.756
7.633	-61.506
7.650	-50.234
7.667	-41.903
7.683	-34.796
7.700	-25.019
7.717	-16.908
7.733	-8.577
7.750	0.956
7.767	10.292
7.783	18.868
7.800	27.911
7.817	36.021
7.833	48.249
7.850	51.214
7.867	56.091
7.883	59.791
7.900	62.462
7.917	65.402
7.933	70.573
7.950	70.058
7.967	61.751
7.983	61.972
8.000	59.301
8.017	50.700
8.033	42.883
8.050	34.527
8.067	26.710
8.083	18.109
8.100	8.086
8.117	-0.245
8.133	-9.091
8.150	-19.358
8.167	-27.445
8.183	-35.286
8.200	-44.623
8.217	-52.439
8.233	-62.976
8.250	-58.811
8.267	-66.652
8.283	-70.818
8.300	-64.471
8.317	-64.937
8.333	-62.241
8.350	-58.566
8.367	-56.115
8.383	-54.155
8.400	-41.927
8.417	-35.531
8.433	-28.425
8.450	-17.153
8.467	-10.071
8.483	-0.980
8.500	8.577
8.517	18.109
8.533	25.730
8.550	36.487
8.567	43.863
8.583	64.177
8.600	54.890
8.617	64.177
8.633	66.897
8.650	66.627
8.667	66.407
8.683	71.528
8.700	66.627
