Motion Sensor Data File Sep 17, 2020 3:37 PM
Time (s)	Velocity (cm/s)
0.000	NaN
0.017	55.648
0.033	55.162
0.050	38.793
0.067	39.840
0.083	25.002
0.100	20.175
0.117	6.640
0.133	-11.262
0.150	-23.751
0.167	-26.815
0.183	-34.987
0.200	-51.843
0.217	-51.102
0.233	-54.652
0.250	-60.015
0.267	-67.165
0.283	-74.571
0.300	-68.698
0.317	-73.039
0.333	-72.528
0.350	-63.335
0.367	-60.015
0.383	-55.699
0.400	-50.310
0.417	-43.926
0.433	-39.329
0.450	-33.966
0.467	8.657
0.483	11.748
0.500	-16.600
0.517	-9.730
0.533	16.089
0.550	25.283
0.567	34.962
0.583	54.907
0.600	66.629
0.617	56.695
0.633	59.478
0.650	62.058
0.667	63.309
0.683	60.781
0.700	49.774
0.717	66.399
0.733	61.036
0.750	42.879
0.767	43.415
0.783	49.519
0.800	44.181
0.817	37.260
0.833	29.624
0.850	20.175
0.867	10.445
0.883	2.043
0.900	-6.895
0.917	-16.115
0.933	-24.517
0.950	-33.200
0.967	-40.606
0.983	-46.990
1.000	-52.634
1.017	-45.969
1.033	-42.904
1.050	-63.079
1.067	-64.867
1.083	-48.778
1.100	-61.547
1.117	-61.292
1.133	-59.530
1.150	-68.698
1.167	-72.018
1.183	-45.713
1.200	-37.797
1.217	-29.114
1.233	-20.201
1.250	7.661
1.267	11.748
1.283	5.082
1.300	-8.938
1.317	8.172
1.333	24.491
1.350	43.670
1.367	45.969
1.383	52.072
1.400	57.461
1.417	61.011
1.433	64.356
1.450	66.629
1.467	76.104
1.483	67.395
1.500	74.827
1.517	62.032
1.533	54.907
1.550	51.817
1.567	47.756
1.583	43.134
1.600	29.114
1.617	19.920
1.633	10.956
1.650	0.511
1.667	-8.938
1.683	-24.287
1.700	-27.070
1.717	-33.455
1.733	-44.436
1.750	-54.396
1.767	-56.210
1.783	-65.122
1.800	-62.569
1.817	-63.079
1.833	-64.612
1.850	-64.356
1.867	-63.590
1.883	-62.824
1.900	-64.867
1.917	-26.585
1.933	-26.815
1.950	-63.590
1.967	-48.778
1.983	-41.883
2.000	-16.115
2.017	-10.981
2.033	-2.043
2.050	7.151
2.067	16.064
2.083	24.517
2.100	29.088
2.117	53.119
2.133	46.990
2.150	53.860
2.167	83.484
2.183	68.442
2.200	61.802
2.217	59.989
2.233	47.246
2.250	64.841
2.267	60.525
2.283	41.346
2.300	53.630
2.317	38.282
2.333	42.904
2.350	35.728
2.367	28.347
2.383	19.920
2.400	11.211
2.417	2.043
2.433	-6.129
2.450	-15.578
2.467	-24.287
2.483	-22.729
2.500	-39.073
